target,mse_open,mae_open,mse_closed,mae_closed
T_PM,0.006047768539203479,0.06164790518649212,0.675589764631693,0.7743011382910774
c,5.3546222873467224e-08,0.000123057733639891,2.032000138330051e-05,0.004380103395543118
d10,7.667390186561361e-07,8.532614887931423e-05,7.270883418790635e-06,0.002532745465159129
d50,6.22575399052467e-09,3.8366693660930296e-05,1.2646890346569333e-05,0.003535719696427254
d90,1.5376832217254966e-06,9.721060313983353e-05,1.6430399104235731e-06,0.0003773541435434996
T_TM,0.003915275529747415,0.05080818073674611,0.5417688489906577,0.677106685180372
